Data,Brasil
2021-04-15,2710.15
2021-04-16,3176.81
2021-04-17,2505.04
2021-04-18,1591.85
2021-04-19,1134.22
2021-04-20,2569.67
2021-04-21,2952.56
2021-04-22,1673.26
2021-04-23,2559.44
2021-04-24,2634.70
2021-04-25,1206.37
2021-04-26,1060.59
2021-04-27,2671.85
2021-04-28,2952.81
2021-04-29,2569.96
2021-04-30,2530.85
2021-05-01,2480.15
2021-05-02,1071.67
2021-05-03,911.81
2021-05-04,2865.15
2021-05-05,2714.63
2021-05-06,2717.78
2021-05-07,2921.70
2021-05-08,2349.26
2021-05-09,1441.15
2021-05-10,933.33
2021-05-11,2693.15
2021-05-12,2840.44
2021-05-13,2762.67
2021-05-14,3168.00
2021-05-15,2481.81
2021-05-16,1516.33
2021-05-17,1108.00
2021-05-18,2794.26
2021-05-19,2934.04
2021-05-20,3038.48
2021-05-21,2846.48
2021-05-22,2832.96
2021-05-23,1326.63
2021-05-24,1388.81
2021-05-25,2720.48
2021-05-26,2980.96
2021-05-27,2498.78
2021-05-28,1843.26
2021-05-29,2950.74
2021-05-30,1611.85
2021-05-31,1127.19
2021-06-01,2923.19
2021-06-02,3540.78
2021-06-03,3088.56
2021-06-04,1405.04
2021-06-05,2445.07
2021-06-06,1468.04
2021-06-07,1376.15
2021-06-08,1959.67
2021-06-09,3175.85
2021-06-10,3262.67
2021-06-11,3153.67
2021-06-12,2914.81
2021-06-13,1405.48
2021-06-14,1475.78
2021-06-15,2985.52
2021-06-16,3532.11
2021-06-17,2742.30
2021-06-18,3660.44
2021-06-19,3047.70
2021-06-20,1636.22
2021-06-21,1440.85
2021-06-22,3252.67
2021-06-23,4267.70
2021-06-24,2726.00
2021-06-25,2936.19
2021-06-26,2375.33
2021-06-27,1248.30
2021-06-28,1029.78
2021-06-29,2403.81
2021-06-30,1623.56
2021-07-01,2413.44
2021-07-02,2413.52
2021-07-03,2020.59
2021-07-04,1029.00
2021-07-05,840.85
2021-07-06,2314.96
2021-07-07,2000.81
2021-07-08,1989.81
2021-07-09,2138.41
2021-07-10,1796.44
2021-07-11,775.44
2021-07-12,630.78
2021-07-13,1667.48
2021-07-14,2138.37
2021-07-15,1955.15
2021-07-16,1688.56
2021-07-17,1271.81
2021-07-18,1263.93
2021-07-19,565.59
2021-07-20,1021.93
2021-07-21,2019.15
2021-07-22,1842.85
2021-07-23,4027.11
2021-07-24,1410.78
2021-07-25,671.44
2021-07-26,703.67
2021-07-27,1533.74
2021-07-28,1778.26
2021-07-29,1566.04
2021-07-30,1514.96
2021-07-31,1391.93
2021-08-01,759.37
2021-08-02,560.85
2021-08-03,1196.89
2021-08-04,1508.00
2021-08-05,1483.48
2021-08-06,1561.44
2021-08-07,1593.81
2021-08-08,514.56
2021-08-09,447.59
2021-08-10,1292.04
2021-08-11,1201.59
2021-08-12,1480.81
2021-08-13,1256.78
2021-08-14,1153.41
2021-08-15,516.93
2021-08-16,535.96
2021-08-17,1393.07
2021-08-18,1544.96
2021-08-19,1345.00
2021-08-20,1255.07
2021-08-21,1051.41
2021-08-22,533.48
2021-08-23,485.30
2021-08-24,1143.41
2021-08-25,1135.96
2021-08-26,1149.04
2021-08-27,1012.78
2021-08-28,914.78
2021-08-29,489.26
2021-08-30,387.63
2021-08-31,910.70
2021-09-01,1012.78
2021-09-02,973.33
2021-09-03,946.85
2021-09-04,807.56
2021-09-05,478.33
2021-09-06,339.04
2021-09-07,505.37
2021-09-08,534.44
2021-09-09,1144.11
2021-09-10,590.78
2021-09-11,530.15
2021-09-12,393.15
2021-09-13,246.11
2021-09-14,496.52
2021-09-15,547.41
2021-09-16,1274.33
2021-09-17,414.89
2021-09-18,5559.48
2021-09-19,350.30
2021-09-20,292.00
2021-09-21,-21.22
2021-09-22,1350.85
2021-09-23,911.52
2021-09-24,719.93
2021-09-25,581.04
2021-09-26,321.04
2021-09-27,534.19
2021-09-28,570.19
2021-09-29,657.63
2021-09-30,1019.52
2021-10-01,688.07
2021-10-02,498.74
2021-10-03,333.48
2021-10-04,386.11
2021-10-05,760.30
2021-10-06,662.70
2021-10-07,577.44
2021-10-08,673.04
2021-10-09,609.30
2021-10-10,319.96
2021-10-11,256.22
2021-10-12,272.56
2021-10-13,290.81
2021-10-14,529.19
2021-10-15,564.41
2021-10-16,416.67
2021-10-17,212.52
2021-10-18,275.78
2021-10-19,480.33
2021-10-20,578.11
2021-10-21,624.19
2021-10-22,537.11
2021-10-23,433.93
2021-10-24,229.78
2021-10-25,214.70
2021-10-26,497.19
2021-10-27,636.44
2021-10-28,565.48
2021-10-29,443.15
2021-10-30,396.04
2021-10-31,250.41
2021-11-01,142.15
2021-11-02,238.19
2021-11-03,543.00
2021-11-04,494.52
2021-11-05,493.37
2021-11-06,439.48
2021-11-07,226.48
2021-11-08,208.81
2021-11-09,405.48
2021-11-10,454.56
2021-11-11,566.67
2021-11-12,540.67
2021-11-13,542.30
2021-11-14,152.93
2021-11-15,103.67
2021-11-16,182.15
2021-11-17,443.59
2021-11-18,455.59
2021-11-19,494.63
2021-11-20,327.15
2021-11-21,189.85
2021-11-22,96.07
2021-11-23,381.93
2021-11-24,478.89
2021-11-25,449.11
2021-11-26,458.96
2021-11-27,341.96
2021-11-28,149.74
2021-11-29,142.33
2021-11-30,359.63
2021-12-01,422.70
2021-12-02,478.15
2021-12-03,393.59
2021-12-04,327.33
2021-12-05,179.41
2021-12-06,162.41
2021-12-07,379.63
2021-12-08,372.41
2021-12-09,
2021-12-10,
2021-12-11,
2021-12-12,
2021-12-13,
2021-12-14,
2021-12-15,
2021-12-16,
2021-12-17,
2021-12-18,
2021-12-19,
2021-12-20,
2021-12-21,
2021-12-22,
2021-12-23,
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,
2021-12-28,
2021-12-29,
2021-12-30,
2021-12-31,
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
